names,descs,links
Two and a Half Men,"Chiropractor and single father Alan Harper lives in a beachfront house with divorced Internet billionaire Walden Schmidt, who bought the...",//www.rottentomatoes.com/tv/two-and-a-half-men
Summer Heights High,"Series creator and writer Chris Lilley portrays three characters -- high-strung drama teacher Mr. G., exchange student Ja'mie and break-dancing...",//www.rottentomatoes.com/tv/summer_heights_high
Young Sheldon,"For young Sheldon Cooper, it isn't easy growing up in East Texas. Being a once-in-a-generation mind capable of advanced mathematics...",//www.rottentomatoes.com/tv/young_sheldon
The Venture Bros.,"""Jonny Quest"" gets an irreverent but affectionate spoofing in this animated series chronicling the sometimes hair-raising adventures of Hank and...",//www.rottentomatoes.com/tv/the_venture_bros
Saved by the Bell,"Lovable schemer Zack Morris leads his pals on adventures at California's Bayside High School. The friends navigate relationships, final exams,...",//www.rottentomatoes.com/tv/saved_by_the_bell
Happy Endings,"For years, perfect couple Dave and Alex were the core of their group of friends, holding them all together. But...",//www.rottentomatoes.com/tv/happy-endings
Vice Principals,"""Eastbound & Down"" creators Danny McBride and Jody Hill team again for a dark comedy series -- no surprise there!...",//www.rottentomatoes.com/tv/vice_principals
Chewing Gum,"Tracey Gordon, a religious, Beyoncé-obsessed 24-year-old, is fast to find out that the more she learns about the world, the...",//www.rottentomatoes.com/tv/chewing_gum
American Vandal,"True-crime series are gaining popularity on TV so, of course, there was bound to be a satire of the genre....",//www.rottentomatoes.com/tv/american_vandal
Diff'rent Strokes,"Two black kids from Harlem, Arnold Jackson and older brother Willis, are welcomed into the family of wealthy New York...",//www.rottentomatoes.com/tv/diff_rent_strokes
The Facts of Life,"""You take the good, you take the bad ... ."" Originally set at the prestigious Eastland School for Young Women,...",//www.rottentomatoes.com/tv/the_facts_of_life
Designing Women,Series creator Linda Bloodworth-Thomason uses the fictional Atlanta design firm of Sugarbaker and Associates as a witty bully pulpit for...,//www.rottentomatoes.com/tv/designing_women
The Young Ones,The daily life and adventures of four students sharing a house....,//www.rottentomatoes.com/tv/the_young_ones
Green Acres,"New York lawyer Oliver Wendell Douglas longs for a simpler way of life. So he buys a farm, sight unseen,...",//www.rottentomatoes.com/tv/green_acres
The Game,"While their men try to hone their gridiron talents on the field, the wives and girlfriends of pro football players...",//www.rottentomatoes.com/tv/the_game_2006
Don't Trust the B---- in Apartment 23,June's (Dreama Walker) plans of moving to Manhattan for her dream job and perfect apartment are ruined when the company...,//www.rottentomatoes.com/tv/don-t-trust-the-b-in-apartment-23
Girlfriends,Three friends struggle with the responsibilities and inevitable changes that come with being a modern woman of a certain age....,//www.rottentomatoes.com/tv/girlfriends
Leave It to Beaver,"This sitcom defines the ""golly gee"" wholesomeness of 1950s and `60s TV, where dad Ward Cleaver always gets home in...",//www.rottentomatoes.com/tv/leave_it_to_beaver
Black Books,"Comedians Dylan Moran and Bill Bailey star in the much-loved offbeat sitcom about bad-tempered, eccentric bookshop owner Bernard Black and...",//www.rottentomatoes.com/tv/black_books
Red Dwarf,"In this space spoof, Dave Lister (a chicken-soup-machine repairman) is a survivor of a radiation leak on his mining space...",//www.rottentomatoes.com/tv/red-dwarf
The Carmichael Show,"Jerrod and his therapist-in-training girlfriend, Maxine, are intelligent, ambitious and ready to take the next step to building a fulfilling...",//www.rottentomatoes.com/tv/the_carmichael_show
As Time Goes By,Jean Pargetter and Lionel Hardcastle are former lovers whose lives intersect again 40 years after they lost touch with each...,//www.rottentomatoes.com/tv/as_time_goes_by
Northern Exposure,Dr. Joel Fleischman graduates from Columbia University medical school and is assigned to work in the tiny Alaskan town of...,//www.rottentomatoes.com/tv/northern_exposure
Looking,Three best friends living in San Francisco share the nuances and complexities of contemporary gay relationships as they explore a...,//www.rottentomatoes.com/tv/looking
The Nanny,"When she appears on the doorstep of wealthy widower Maxwell Sheffield's New York home, cosmetics saleswoman Fran Fine unexpectedly gets...",//www.rottentomatoes.com/tv/the_nanny
Just Shoot Me,"This ensemble comedy is about the inner workings of a high-style magazine owned by Jack Gallo, who has hired his...",//www.rottentomatoes.com/tv/just_shoot_me
Who's the Boss?,"A widower and former pro baseball player, Tony Micelli takes a job as a housekeeper for a high-powered divorced businesswoman,...",//www.rottentomatoes.com/tv/who_s_the_boss_
The Munsters,The family at 1313 Mockingbird Lane is a little... different. Dad Herman looks like Frankenstein's monster; mom Lily and her...,//www.rottentomatoes.com/tv/the_munsters
I Dream of Jeannie,"Rescued from a bottle (and a deserted island) by a U.S. astronaut, a scantily clad genie named Jeannie becomes his...",//www.rottentomatoes.com/tv/i_dream_of_jeannie
The Brady Bunch,"Here's the story ... of a man named Brady, an architect widower with three sons: oldest Greg, middle son Peter...",//www.rottentomatoes.com/tv/the_brady_bunch
Family Matters,"Policeman Carl Winslow has enough to deal with on the job. But when he gets home, he still has to...",//www.rottentomatoes.com/tv/family_matters
Togetherness,"The spark in parents Brett and Michelle Pierson's marriage is all but extinguished. When his best friend, out-of-work actor Alex,...",//www.rottentomatoes.com/tv/togetherness
